county,year,race,sex,total
Guilford,2000,black,male,57709
Halifax,2000,black,male,14268
Harnett,2000,black,male,9995
Haywood,2000,black,male,329
Henderson,2000,black,male,1390
Hertford,2000,black,male,5955
Hoke,2000,black,male,6365
Hyde,2000,black,male,1144
Iredell,2000,black,male,7916
Jackson,2000,black,male,314
Johnston,2000,black,male,9365
Jones,2000,black,male,1706
Lee,2000,black,male,4798
Lenoir,2000,black,male,11048
Lincoln,2000,black,male,2032
Macon,2000,black,male,240
Madison,2000,black,male,119
Martin,2000,black,male,5208
McDowell,2000,black,male,1050
Mecklenburg,2000,black,male,91678
Mitchell,2000,black,male,32
Montgomery,2000,black,male,3022
Moore,2000,black,male,5455
Nash,2000,black,male,14004
New Hanover,2000,black,male,12506
Northampton,2000,black,male,6178
Onslow,2000,black,male,15306
Orange,2000,black,male,7380
Pamlico,2000,black,male,1653
Pasquotank,2000,black,male,6691
Pender,2000,black,male,4787
Perquimans,2000,black,male,1458
Person,2000,black,male,4718
Pitt,2000,black,male,20561
Polk,2000,black,male,507
Randolph,2000,black,male,3594
Richmond,2000,black,male,6916
Robeson,2000,black,male,14601
Rockingham,2000,black,male,8511
Rowan,2000,black,male,10065
Rutherford,2000,black,male,3427
Sampson,2000,black,male,8734
Scotland,2000,black,male,6120
Stanly,2000,black,male,3354
Stokes,2000,black,male,1023
Surry,2000,black,male,1442
Swain,2000,black,male,134
Transylvania,2000,black,male,636
Tyrrell,2000,black,male,923
Union,2000,black,male,7600
Vance,2000,black,male,9633
Wake,2000,black,male,59149
Warren,2000,black,male,5311
Washington,2000,black,male,3079
Watauga,2000,black,male,365
Wayne,2000,black,male,18003
Wilkes,2000,black,male,1353
Wilson,2000,black,male,13364
Yadkin,2000,black,male,616
Yancey,2000,black,male,66
Alamance,2000,other,male,483
Alexander,2000,other,male,128
Alleghany,2000,other,male,36
Anson,2000,other,male,49
Ashe,2000,other,male,49
Avery,2000,other,male,48
Beaufort,2000,other,male,93
Bertie,2000,other,male,29
Bladen,2000,other,male,78
Brunswick,2000,other,male,300
Buncombe,2000,other,male,996
Burke,2000,other,male,297
Cabarrus,2000,other,male,419
Caldwell,2000,other,male,193
Camden,2000,other,male,25
Carteret,2000,other,male,267
Caswell,2000,other,male,80
Catawba,2000,other,male,492
Chatham,2000,other,male,176
Cherokee,2000,other,male,134
Chowan,2000,other,male,38
Clay,2000,other,male,26
Cleveland,2000,other,male,261
Columbus,2000,other,male,158
Craven,2000,other,male,584
Cumberland,2000,other,male,3418
Currituck,2000,other,male,72
Dare,2000,other,male,125
Davidson,2000,other,male,481
Davie,2000,other,male,129
Duplin,2000,other,male,122
Durham,2000,other,male,1217
Edgecombe,2000,other,male,96
Forsyth,2000,other,male,1289
Franklin,2000,other,male,138
Gaston,2000,other,male,594
Gates,2000,other,male,42
Graham,2000,other,male,21
Granville,2000,other,male,236
Greene,2000,other,male,49
Guilford,2000,other,male,1867
Halifax,2000,other,male,164
Harnett,2000,other,male,522
Haywood,2000,other,male,144
Henderson,2000,other,male,325
Hertford,2000,other,male,66
Hoke,2000,other,male,268
Hyde,2000,other,male,16
Iredell,2000,other,male,376
Jackson,2000,other,male,195
Johnston,2000,other,male,341
Jones,2000,other,male,34
Lee,2000,other,male,144
Lenoir,2000,other,male,131
Lincoln,2000,other,male,159
Macon,2000,other,male,77
Madison,2000,other,male,49
Martin,2000,other,male,51
McDowell,2000,other,male,131
Mecklenburg,2000,other,male,3084
Mitchell,2000,other,male,39
Montgomery,2000,other,male,93
Moore,2000,other,male,243
Nash,2000,other,male,271
New Hanover,2000,other,male,585
Northampton,2000,other,male,56
Onslow,2000,other,male,1967
Orange,2000,other,male,692
Pamlico,2000,other,male,48
Pasquotank,2000,other,male,190
Pender,2000,other,male,139
Perquimans,2000,other,male,36
Person,2000,other,male,125
Pitt,2000,other,male,488
Polk,2000,other,male,48
Randolph,2000,other,male,475
Richmond,2000,other,male,218
Robeson,2000,other,male,593
Rockingham,2000,other,male,269
Rowan,2000,other,male,441
Rutherford,2000,other,male,191
Sampson,2000,other,male,193
Scotland,2000,other,male,192
Stanly,2000,other,male,150
Stokes,2000,other,male,97
Surry,2000,other,male,158
Swain,2000,other,male,131
Transylvania,2000,other,male,138
Tyrrell,2000,other,male,14
Union,2000,other,male,408
Vance,2000,other,male,106
Wake,2000,other,male,3460
Warren,2000,other,male,74
Washington,2000,other,male,30
Watauga,2000,other,male,119
Wayne,2000,other,male,544
Wilkes,2000,other,male,154
Wilson,2000,other,male,212
Yadkin,2000,other,male,89
Yancey,2000,other,male,41
Alamance,2000,white,male,50344
Alexander,2000,white,male,15750
Alleghany,2000,white,male,5107
Anson,2000,white,male,6242
Ashe,2000,white,male,11862
Avery,2000,white,male,8432
Beaufort,2000,white,male,15262
Bertie,2000,white,male,3476
Bladen,2000,white,male,9443
Brunswick,2000,white,male,30569
Buncombe,2000,white,male,89914
Burke,2000,white,male,38905
Cabarrus,2000,white,male,56125
Caldwell,2000,white,male,35969
Camden,2000,white,male,2795
Carteret,2000,white,male,26556
Caswell,2000,white,male,7414
Catawba,2000,white,male,61612
Chatham,2000,white,male,20010
Cherokee,2000,white,male,11248
Chowan,2000,white,male,4224
Clay,2000,white,male,4208
Cleveland,2000,white,male,36238
Columbus,2000,white,male,17333
Craven,2000,white,male,33826
Cumberland,2000,white,male,92244
Currituck,2000,white,male,8312
Dare,2000,white,male,14573
Davidson,2000,white,male,64594
Davie,2000,white,male,15866
Duplin,2000,white,male,17555
Durham,2000,white,male,61754
Edgecombe,2000,white,male,11146
Forsyth,2000,white,male,106774
Franklin,2000,white,male,16357
Gaston,2000,white,male,78210
Gates,2000,white,male,3093
Graham,2000,white,male,3597
Granville,2000,white,male,15994
Greene,2000,white,male,5626
Guilford,2000,white,male,136269
